trial,iscorrect,action
1,true,2
2,false,2
3,false,2
4,false,1
5,false,2
6,false,1
7,true,2
8,true,2
9,false,1
10,true,2
11,true,2
12,true,2
13,false,2
14,true,2
15,false,2
16,false,2
17,true,1
18,true,1
19,true,1
20,false,1
21,true,1
22,false,2
23,true,1
24,false,1
25,true,1
26,true,1
27,true,1
28,true,1
29,false,1
30,false,2
31,false,1
32,true,1
33,false,1
34,false,1
35,false,1
36,true,1
37,true,1
38,true,1
39,false,1
40,true,1
41,false,1
42,true,1
43,true,1
44,false,1
45,true,1
46,true,1
47,true,1
48,false,1
49,true,2
50,true,2
51,false,2
52,false,2
53,false,1
54,false,1
55,false,1
56,false,1
57,false,2
58,true,1
59,true,1
60,true,1
61,false,1
62,true,2
63,false,1
64,true,1
65,true,1
66,false,1
67,true,1
68,false,1
69,false,1
70,true,1
71,true,1
72,false,1
73,false,1
74,false,2
75,false,2
76,false,1
77,false,2
78,true,1
79,true,1
80,true,1
81,false,1
82,true,1
83,true,1
84,false,1
85,false,1
86,true,1
87,true,1
88,true,1
89,false,1
90,true,1
91,false,1
92,false,2
93,false,1
94,true,2
95,false,2
96,true,2
97,true,2
98,true,2
99,false,2
100,false,2
101,false,1
102,false,1
103,true,1
104,true,1
105,false,1
106,true,2
107,false,2
108,true,1
109,true,1
110,true,1
111,true,1
112,true,1
113,true,1
114,false,1
115,true,1
116,true,1
117,true,1
118,false,1
119,false,1
120,true,2
121,true,1
122,false,1
123,true,1
124,true,1
125,false,1
126,true,2
127,true,2
128,true,2
129,true,2
130,false,2
131,true,1
132,true,1
133,true,2
134,true,2
135,true,2
136,true,2
137,true,2
138,false,2
139,true,2
140,true,1
141,true,2
142,true,1
143,true,2
144,true,2
145,false,2
146,true,2
147,false,2
148,true,1
149,true,1
150,false,1
151,true,1
152,false,1
153,false,2
154,false,2
155,false,1
156,true,1
157,true,1
158,true,1
159,true,1
160,false,1
161,true,1
162,false,1
163,false,1
164,false,2
165,false,2
166,true,1
167,false,1
168,true,2
169,true,2
170,true,2
171,false,2
172,false,1
173,true,2
174,false,2
175,false,1
176,false,2
177,false,1
178,false,1
179,false,1
180,true,2
181,false,1
182,false,1
183,true,1
184,true,1
185,true,2
186,true,1
187,false,2
188,true,1
189,true,1
190,false,1
191,true,1
192,true,1
193,true,1
194,true,1
195,true,1
196,true,1
197,true,1
198,true,1
199,true,1
200,false,1
201,true,1
202,false,1
203,true,1
204,false,1
205,true,2
206,true,2
207,false,1
208,true,2
209,true,1
210,true,2
211,true,1
212,true,2
213,true,1
214,true,2
215,false,2
216,true,1
217,true,2
218,true,2
219,true,2
220,true,2
221,false,2
222,true,1
223,false,1
224,true,2
225,true,2
226,true,1
227,true,2
228,true,2
229,false,2
230,true,1
231,true,1
232,false,2
233,true,1
234,true,2
235,true,1
236,false,1
237,true,2
238,true,2
239,true,1
240,true,1
241,true,1
242,true,1
243,true,2
244,true,2
245,true,1
246,true,2
247,false,1
248,true,2
249,true,2
250,true,1
251,false,1
252,true,2
253,true,2
254,false,2
255,true,2
256,true,1
257,true,2
258,true,1
259,false,2
260,true,2
261,true,1
262,true,1
263,true,2
264,true,2
265,true,1
266,false,1
267,false,2
268,true,2
269,true,1
270,true,1
271,true,2
272,true,1
273,true,1
274,true,2
275,true,1
276,true,1
277,true,2
278,true,1
279,true,2
280,true,2
281,true,1
282,true,1
283,true,2
284,true,2
285,true,2
286,true,1
287,true,1
288,true,1
289,true,1
290,true,1
291,true,1
292,true,1
293,true,2
294,true,2
295,false,1
296,true,2
297,true,2
298,true,1
299,true,2
300,true,2
301,true,1
302,true,2
303,true,1
304,true,2
305,true,2
306,true,1
307,true,2
308,true,1
309,true,2
310,true,1
311,true,1
312,true,2
313,true,1
314,true,1
315,true,2
316,true,1
317,true,1
318,true,2
319,true,1
320,true,1
321,false,1
322,true,2
323,true,2
324,true,1
325,true,2
326,true,2
327,true,1
328,true,2
329,true,1
330,true,1
331,true,1
332,true,2
333,true,2
334,true,1
335,true,2
336,true,2
337,true,2
338,true,1
339,false,2
340,true,1
341,true,2
342,true,1
343,true,2
344,true,1
345,true,1
346,true,1
347,true,1
348,false,1
349,true,2
350,true,1
351,true,1
352,true,2
353,true,1
354,true,1
355,true,1
356,true,2
357,true,2
358,true,1
359,true,1
360,true,1
361,true,1
362,true,2
363,true,2
364,true,2
365,true,1
366,false,1
367,true,1
368,true,2
369,true,2
370,true,2
371,true,2
372,false,2
373,true,2
374,true,1
375,true,1
376,true,2
377,true,1
378,true,1
379,true,2
380,true,1
381,true,2
382,true,1
383,true,2
384,true,1
385,true,2
386,true,2
387,true,2
388,true,2
389,true,2
390,true,2
391,true,2
392,true,1
393,true,1
394,true,1
395,true,2
396,true,1
397,true,1
398,true,1
399,true,1
400,true,1
401,true,1
402,true,1
403,true,1
404,true,2
405,true,2
406,true,1
407,true,2
408,true,1
409,true,1
410,true,1
411,true,1
412,false,1
413,true,2
414,true,1
415,true,2
416,true,2
417,true,1
418,true,1
419,true,1
420,true,1
421,true,2
422,true,1
423,true,1
424,true,1
425,true,1
426,true,2
427,true,1
428,true,1
429,true,1
430,false,1
431,true,1
432,false,1
433,false,1
434,true,1
435,true,1
436,true,2
437,true,1
438,true,1
439,true,1
440,true,1
441,true,1
442,true,2
443,true,2
444,true,2
445,true,2
446,true,1
447,true,2
448,true,1
449,true,2
450,false,1
451,true,2
452,false,2
453,true,1
454,true,2
455,true,1
456,true,1
457,true,2
458,true,1
459,true,2
460,true,1
461,true,1
462,true,2
463,true,2
464,false,1
465,true,2
466,true,2
467,false,2
468,true,2
469,true,2
470,true,2
471,true,2
472,true,2
473,true,1
474,false,2
475,true,2
476,true,1
477,true,2
478,true,1
479,false,2
480,false,1
481,true,2
482,true,2
483,true,2
484,true,2
485,false,2
486,true,1
487,true,2
488,true,2
489,true,1
490,true,1
491,true,2
492,true,1
493,true,1
494,true,2
495,true,2
496,true,1
497,true,1
498,true,1
499,true,2
500,false,2
501,true,2
502,true,2
503,true,1
504,true,2
505,true,2
506,true,1
507,true,1
508,true,1
509,true,2
510,true,1
511,true,1
512,true,2
513,false,1
514,true,2
515,true,2
516,true,2
517,true,2
518,true,2
519,true,2
520,false,2
521,true,1
522,true,1
523,true,2
524,true,1
525,true,1
526,true,2
527,true,2
528,true,1
529,true,2
530,true,1
531,true,2
532,false,2
533,true,1
534,true,2
535,true,1
536,false,1
537,true,1
538,true,2
539,true,2
540,true,1
541,true,2
542,true,2
543,true,1
544,false,2
545,true,1
546,true,1
547,true,1
548,true,1
549,true,1
550,true,2
551,false,1
552,true,2
553,true,1
554,true,1
555,true,2
556,true,1
557,true,1
558,true,2
559,true,2
560,true,2
561,true,2
562,true,2
563,true,1
564,true,1
565,true,2
566,true,2
567,true,1
568,true,1
569,true,1
570,true,2
571,true,1
572,true,2
573,true,2
574,true,2
575,true,1
576,false,2
577,true,2
578,true,1
579,false,1
580,true,1
581,true,2
582,false,1
583,true,1
584,false,2
585,true,2
586,false,1
587,true,2
588,true,2
589,true,2
590,false,2
591,true,1
592,false,2
593,true,2
594,true,2
595,true,2
596,true,2
597,true,2
598,false,2
599,true,2
600,true,2
601,true,2
602,true,2
603,true,2
604,false,2
605,true,2
606,true,2
607,true,2
608,true,2
609,true,2
610,true,2
611,false,2
612,false,2
613,false,2
614,true,1
615,true,2
616,true,2
617,true,1
618,true,2
619,true,2
620,true,1
621,true,2
622,true,1
623,false,2
624,true,1
625,true,1
626,true,1
627,true,2
628,true,1
629,true,1
630,true,1
631,false,1
632,true,2
633,false,1
634,true,2
635,true,1
636,false,1
637,true,1
638,false,2
639,true,2
640,false,1
641,true,2
642,true,2
643,true,2
644,false,2
645,true,1
646,true,2
647,true,1
648,true,1
649,true,2
650,true,2
651,true,2
652,true,2
653,true,1
654,true,2
655,true,1
656,true,1
657,true,1
658,true,2
659,true,2
660,true,1
661,true,1
662,true,1
663,true,1
664,true,2
665,true,2
666,true,2
667,true,1
668,true,2
669,true,1
670,true,2
671,true,2
672,true,1
673,true,1
674,true,2
675,true,2
676,false,1
677,true,2
678,false,2
679,true,2
680,true,1
681,true,2
682,true,1
683,true,2
684,true,2
685,false,2
686,true,1
687,true,1
688,true,2
689,true,2
690,true,2
691,true,1
692,true,2
693,true,2
694,true,1
695,true,2
696,true,1
697,true,1
698,true,1
699,false,1
700,true,1
